incident_id,title,description,severity,module,timestamp_opened,timestamp_resolved,resolution_summary,root_cause,troubleshooting_log_excerpt,issue_type,tags
INC-10000,Search infra issue ERR_SEA_7265,Users reported issues in Search. failure cache session session endpoint Error seen in logs: ERR_SEA_7265.,P3,Search,2025-09-21 16:00:34,2025-09-25 23:00:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-09-21 16:00:34.189634] ERR_SEA_7265: Timeout at /api/search/process,infra,"search,infra"
INC-10001,Inventory infra issue ERR_INV_7949,Users reported issues in Inventory. timeout retry connection auth db Error seen in logs: ERR_INV_7949.,P3,Inventory,2025-08-16 02:22:34,,,Null pointer in microservice.,[2025-08-16 02:22:34.189634] ERR_INV_7949: Timeout at /api/inventory/process,infra,"inventory,infra"
INC-10002,Inventory bug issue ERR_INV_1189,Users reported issues in Inventory. failure cache service error failure Error seen in logs: ERR_INV_1189.,P3,Inventory,2025-10-17 06:11:34,2025-10-25 02:11:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-10-17 06:11:34.189634] ERR_INV_1189: Timeout at /api/inventory/process,bug,"inventory,bug"
INC-10003,Inventory performance issue ERR_INV_9792,Users reported issues in Inventory. timeout auth error auth retry Error seen in logs: ERR_INV_9792.,P3,Inventory,2025-11-24 00:31:34,,,Null pointer in microservice.,[2025-11-24 00:31:34.189634] ERR_INV_9792: Timeout at /api/inventory/process,performance,"inventory,performance"
INC-10004,Payments data issue ERR_PAY_9226,Users reported issues in Payments. connection service timeout endpoint service Error seen in logs: ERR_PAY_9226.,P3,Payments,2025-09-24 18:39:34,2025-09-25 02:39:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-09-24 18:39:34.189634] ERR_PAY_9226: Timeout at /api/payments/process,data,"payments,data"
INC-10005,Payments config issue ERR_PAY_7873,Users reported issues in Payments. timeout auth service endpoint cache Error seen in logs: ERR_PAY_7873.,P3,Payments,2025-08-06 05:16:34,,,Config drift in container setup.,[2025-08-06 05:16:34.189634] ERR_PAY_7873: Timeout at /api/payments/process,config,"payments,config"
INC-10006,Catalog performance issue ERR_CAT_5887,Users reported issues in Catalog. auth error error connection error Error seen in logs: ERR_CAT_5887.,P1,Catalog,2025-07-16 13:28:34,2025-07-21 04:28:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-07-16 13:28:34.189634] ERR_CAT_5887: Timeout at /api/catalog/process,performance,"catalog,performance"
INC-10007,Search bug issue ERR_SEA_6258,Users reported issues in Search. failure connection endpoint failure failure Error seen in logs: ERR_SEA_6258.,P3,Search,2025-11-15 08:36:34,2025-11-17 23:36:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-11-15 08:36:34.189634] ERR_SEA_6258: Timeout at /api/search/process,bug,"search,bug"
INC-10008,Auth config issue ERR_AUT_7278,Users reported issues in Auth. error endpoint timeout connection cache Error seen in logs: ERR_AUT_7278.,P3,Auth,2025-07-19 01:35:34,2025-07-20 05:35:34,Restarted service and cleared cache.,Config drift in container setup.,[2025-07-19 01:35:34.189634] ERR_AUT_7278: Timeout at /api/auth/process,config,"auth,config"
INC-10009,Search performance issue ERR_SEA_6056,Users reported issues in Search. failure retry failure connection retry Error seen in logs: ERR_SEA_6056.,P3,Search,2025-11-27 05:24:34,2025-11-28 16:24:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-11-27 05:24:34.189634] ERR_SEA_6056: Timeout at /api/search/process,performance,"search,performance"
