incident_id,title,description,severity,module,timestamp_opened,timestamp_resolved,root_cause,resolution_steps,troubleshooting_log_excerpt,issue_type,tags,related_docs,incident_category,module_owner,severity_weight,status
INC-10000,Search infra issue ERR_SEA_7265,Intermittent search timeouts and failures observed by users hitting /api/search; cache miss pattern and thread contention during peak queries.,P3,Search,2025-09-21T16:00:34Z,2025-09-25T23:00:34Z,"Thread-pool exhaustion due to heavy parallel index refresh + stale cache leading to NPE in request handler","[\"Restarted search-service gracefully\",\"Flush local search cache and validated TTLs\",\"Scaled search replicas from 3 -> 5\",\"Applied circuit-breaker to upstream index requests\",\"Added request-level timeouts and alert rule for queue length\"]","2025-09-21T16:00:34.189Z ERROR SearchService [reqId=78fabc12] NullPointerException at SearchHandler.handle(SearchHandler.java:112)\n2025-09-21T16:00:34.190Z WARN SearchService ThreadPool-5 queue-size=153; active=48; max=50\n2025-09-21T16:00:35.005Z INFO RetryPolicy Retrying request (policy=exp-backoff, attempt=2)","infra","search,infra,cache","[\"DOC-700\",\"DOC-701\"]","service-failure","SearchOps",0.4,resolved
INC-10001,Inventory infra issue ERR_INV_7949,Inventory API returning intermittent timeouts and authentication retries to DB observed; auth handshake sometimes fails causing connection churn.,P3,Inventory,2025-08-16T02:22:34Z,2025-08-17T03:05:12Z,"Transient auth token expiry and connection pool misconfiguration causing repeated re-auth and timeout.","[\"Rotate affected auth keys\",\"Increase DB pool max connections from 50 -> 100\",\"Add token-caching layer with 5m TTL\",\"Restart inventory-service after pool resize\",\"Monitor 5xx rate for 24h\"]","2025-08-16T02:22:34.189Z ERROR InventoryService [req=aa23] DBConnectionTimeout: could not get connection in 30s\n2025-08-16T02:22:34.190Z WARN AuthClient token fetch failed (status=502)\n2025-08-16T02:22:35.004Z INFO PoolManager resizing pool to 80","infra","inventory,infra,db","[\"DOC-500\",\"DOC-501\"]","dependency-failure","InventoryOps",0.4,resolved
INC-10002,Inventory bug issue ERR_INV_1189,Repeated cache invalidation bugs causing stale reads and occasional duplicate order allocations.,P3,Inventory,2025-10-17T06:11:34Z,2025-10-25T02:11:34Z,"Race condition in cache invalidation callback producing stale inventory reads.","[\"Apply fix to cache invalidation handler to use compare-and-swap\",\"Backfill corrected inventory snapshots\",\"Invalidate caches cluster-wide with version token\",\"Add unit tests for concurrent invalidation\",\"Release hotfix v2.1.3\"]","2025-10-17T06:11:34.189Z ERROR InventoryCache [req=cb7] CacheInvalidationRaceException at CacheManager.invalidate(CacheManager.java:88)\n2025-10-17T06:11:34.240Z INFO InventoryService Returning cached value older-than 5m\n2025-10-17T06:12:01.005Z INFO Reconciler started jobId=inv-reconcile-20251017","bug","inventory,bug,cache","[\"DOC-500\",\"DOC-502\"]","cache-corruption","InventoryOps",0.4,resolved
INC-10003,Inventory performance issue ERR_INV_9792,Inventory queries experiencing elevated p95 latency during batch reindex jobs and during deployments.,P3,Inventory,2025-11-24T00:31:34Z,, "Background reindex combined with insufficient DB read replicas; query plans show full table scans.","[\"Throttle reindex jobs to off-peak hours\",\"Add read replicas and update connection routing\",\"Optimize slow SQL and add indexes\",\"Enable query sampling alerts\",\"Schedule maintenance window for reindex\"]","2025-11-24T00:31:34.189Z WARN InventoryReindex Job[20251124] high CPU 88%\n2025-11-24T00:31:35.003Z ERROR SQLExecutor slow query detected duration=4500ms; query=\"select * from inventory where updated_at > ?\"\n2025-11-24T00:31:36.006Z INFO Autoscaler scaled replicas +2","performance","inventory,performance,db","[\"DOC-500\",\"DOC-503\"]","db-latency","InventoryOps",0.4,unresolved
INC-10004,Payments data issue ERR_PAY_9226,Payment processing failures where payloads lost on queue handoff causing partial payments and reconciliation mismatches.,P3,Payments,2025-09-24T18:39:34Z,2025-09-25T02:39:34Z,"Message queue ack mis-handled during high I/O causing dropped events.","[\"Restarted queue broker and processed dead-letter queue\",\"Enable at-least-once delivery for payments topic\",\"Add idempotency keys to payment processor\",\"Run reconciliation script to reconcile missing payments\",\"Add monitoring for queue lag and DLQ size\"]","2025-09-24T18:39:34.189Z ERROR PaymentWorker [msgId=pay-993] Failed to ack message due to BrokerIOException\n2025-09-24T18:39:34.400Z WARN MQClient re-queued message attempt=1\n2025-09-24T18:40:01.110Z INFO Reconciler matched 12 missing transactions","data","payments,data,mq","[\"DOC-200\",\"DOC-202\"]","queue-backlog","PaymentsOps",0.4,resolved
INC-10005,Payments config issue ERR_PAY_7873,Misconfigured payment gateway timeout defaults caused increased client timeouts and retries.,P3,Payments,2025-08-06T05:16:34Z,2025-08-06T08:02:10Z,"Config drift: different timeout defaults across deployment groups causing cascading retries.","[\"Rollback to last known-good config\",\"Standardize gateway timeout to 10s across envs\",\"Deploy config as immutable artifact\",\"Add config drift detector job\",\"Document config values in DOC-202\"]","2025-08-06T05:16:34.189Z WARN PaymentsConfigManager found mismatch env=prod vs env=canary gateway.timeout=5s vs 20s\n2025-08-06T05:17:01.005Z INFO Rolling back canary changes\n2025-08-06T05:20:12.110Z INFO Restarted payments-service with standardized config","config","payments,config,deploy","[\"DOC-202\"]","config-drift","PaymentsOps",0.4,resolved
INC-10006,Catalog performance issue ERR_CAT_5887,Catalog service p95 latency spike impacting browse and search faceting, causing checkout friction.,P1,Catalog,2025-07-16T13:28:34Z,2025-07-21T04:28:34Z,"Memory leak in product cache loader causing OOM and GC pressure.","[\"Restart catalog-service instances\",\"Roll out memory-fix v3.2.1\",\"Increase heap to absorb traffic during patch\",\"Run heap-dump analysis and fix leak\",\"Add GC and OOM alerts to Ops dashboard\"]","2025-07-16T13:28:34.189Z ERROR JVM [pid=1234] OutOfMemoryError: Java heap space\n2025-07-16T13:28:34.500Z WARN GC concurrent-mark-sweep pause=820ms\n2025-07-16T13:30:03.001Z INFO HeapDump saved to /var/dumps/heap-20250716.hprof","memory","catalog,performance,oom","[\"DOC-400\",\"DOC-402\"]","memory-leak","CatalogOps",1.0,resolved
INC-10007,Search bug issue ERR_SEA_6258,Search returned inconsistent results after rolling index update; relevancy degraded for subset of queries.,P3,Search,2025-11-15T08:36:34Z,2025-11-17T23:36:34Z,"Index schema mismatch after partial migration caused missing fields in documents.","[\"Rollback faulty index migration\",\"Rebuild index with correct schema\",\"Add migration pre-checks\",\"Add integration tests for index migration\",\"Publish step-by-step migration runbook (DOC-700)\"]","2025-11-15T08:36:34.189Z ERROR IndexMigrator FieldMappingException: field 'title' missing for docId=ab12\n2025-11-15T08:36:35.003Z WARN Rolling restart in progress node=search-3\n2025-11-15T08:38:02.101Z INFO Reindex job started jobId=reindex-1115","bug","search,bug,index","[\"DOC-700\",\"DOC-702\"]","deployment-failure","SearchOps",0.4,resolved
INC-10008,Auth config issue ERR_AUT_7278,Auth service returned intermittent 401s after a recent config change to token lifetime.,P3,Auth,2025-07-19T01:35:34Z,2025-07-20T05:35:34Z,"Config change shortened token TTL causing tokens to expire mid-session and race on renewal.","[\"Revert token TTL to previous value\",\"Notify clients of TTL change\",\"Add graceful token renewal flow\",\"Sync all auth servers clocks and timezones\",\"Add canary testing for auth config changes\"]","2025-07-19T01:35:34.189Z WARN AuthService token validation failed user=usr987 reason=expired\n2025-07-19T01:35:35.004Z INFO TokenService issuing new token for user=usr987\n2025-07-19T01:40:00.100Z INFO Canary auth-server passed health checks","config","auth,config,token","[\"DOC-100\",\"DOC-101\"]","config-drift","AuthOps",0.4,resolved
INC-10009,Search performance issue ERR_SEA_6056,Search p99 latency and increased error rates during peak traffic window; some nodes saturated.,P3,Search,2025-11-27T05:24:34Z,2025-11-28T16:24:34Z,"Hot shards and uneven query routing causing node overload.","[\"Evacuate hot shards to balanced nodes\",\"Increase search cache size\",\"Enable slow-query logging for 72h\",\"Apply routing rule to distribute queries\",\"Add shard-aware autoscaling policy\"]","2025-11-27T05:24:34.189Z WARN NodeLoadBalancer node=search-2 load=94% shard-hot=true\n2025-11-27T05:24:35.003Z ERROR QueryProcessor p99 latency 3800ms\n2025-11-27T05:25:01.101Z INFO Rebalance scheduled","performance","search,performance,shard","[\"DOC-700\",\"DOC-701\"]","scaling","SearchOps",0.4,resolved
INC-10010,Payments infra issue ERR_PAY_8721,Payments downstream DB showing connection timeouts under high load, intermittent 502s returned to clients.,P2,Payments,2025-09-21T04:17:34Z,2025-09-24T22:17:34Z,"DB connection pool exhausted due to long-running reconciliation queries.","[\"Limit reconciliation batch size\",\"Increase DB pool connections\",\"Optimize reconciliation SQL\",\"Add query timeout\",\"Implement pagination for reconciliation\"]","2025-09-21T04:17:34.189Z ERROR DBPool maxWaitExceeded: waited 30000ms\n2025-09-21T04:17:35.003Z WARN Reconciler job running longer-than-expected duration=3600s\n2025-09-21T04:20:00.100Z INFO Scaled payments-db read replicas +2","infra","payments,infra,db","[\"DOC-200\",\"DOC-202\"]","db-latency","PaymentsOps",0.7,resolved
